5,O
WARNINGS,O
AND,O
PRECAUTIONS,O
EXCERPT,O
Peripheral neuropathy,AdverseReaction
Monitor,O
patients,O
for,O
neuropathy,O
and,O
institute,O
dose,O
modifications,O
accordingly,O
5,O
1,O
Anaphylaxis,AdverseReaction
and,O
infusion reactions,AdverseReaction
If,O
an,O
infusion,O
reaction,O
occurs,O
interrupt,O
the,O
infusion,O
If,O
anaphylaxis,O
occurs,O
immediately,O
discontinue,O
the,O
infusion,O
5,O
2,O
Hematologic toxicities,AdverseReaction
Monitor,O
complete,O
blood,O
counts,O
prior,O
to,O
each,O
dose,O
of,O
ADCETRIS,O
Closely,O
monitor,O
patients,O
for,O
fever,O
If,O
Grade,O
3,O
or,O
4,O
neutropenia,O
develops,O
consider,O
dose,O
delays,O
reductions,O
discontinuation,O
or,O
G,O
CSF,O
prophylaxis,O
with,O
subsequent,O
doses,O
5,O
3,O
Serious,Severity
infections,AdverseReaction
and,O
opportunistic infections,AdverseReaction
Closely,O
monitor,O
patients,O
for,O
the,O
emergence,O
of,O
bacterial,O
fungal,O
or,O
viral,O
infections,O
5,O
4,O
Tumor lysis syndrome,AdverseReaction
Closely,O
monitor,O
patients,O
with,O
rapidly,O
proliferating,O
tumor,O
or,O
high,O
tumor,O
burden,O
5,O
5,O
Hepatotoxicity,AdverseReaction
Monitor,O
liver,O
enzymes,O
and,O
bilirubin,O
5,O
8,O
Pulmonary Toxicity,AdverseReaction
Monitor,O
patients,O
for,O
new,O
or,O
worsening,O
symptoms,O
5,O
10,O
Serious,Severity
dermatologic reactions,AdverseReaction
Discontinue,O
if,O
Stevens,O
Johnson,O
syndrome,O
or,O
toxic,O
epidermal,O
necrolysis,O
occurs,O
5,O
10,O
Embryo fetal toxicity,AdverseReaction
Fetal harm,AdverseReaction
can,Factor
occur,O
Advise,O
pregnant,O
women,O
of,O
the,O
potential,O
hazard,O
to,O
the,O
fetus,O
5,O
12,O
5,O
1,O
Peripheral,O
Neuropathy,O
ADCETRIS,O
treatment,O
causes,O
a,O
peripheral neuropathy neuropathy,AdverseReaction
that,O
is,O
predominantly,O
sensory,AdverseReaction
Cases,O
of,O
peripheral motor neuropathy,AdverseReaction
have,O
also,O
been,O
reported,O
ADCETRIS,O
induced,O
peripheral neuropathy,AdverseReaction
is,O
cumulative,O
In,O
the,O
relapsed,O
classical,O
HL,O
and,O
sALCL,O
clinical,O
trials,O
54,O
of,O
patients,O
experienced,O
any,O
grade,O
of,O
neuropathy,AdverseReaction
Of,O
these,O
patients,O
49,O
had,O
complete,O
resolution,O
31,O
had,O
partial,O
improvement,O
and,O
20,O
had,O
no,O
improvement,O
Of,O
the,O
patients,O
who,O
reported,O
neuropathy,AdverseReaction
51,O
had,O
residual neuropathy,AdverseReaction
at,O
the,O
time,O
of,O
their,O
last,O
evaluation,O
Monitor,O
patients,O
for,O
symptoms,O
of,O
neuropathy,O
such,O
as,O
hypoesthesia,O
hyperesthesia,O
paresthesia,O
discomfort,O
a,O
burning,O
sensation,O
neuropathic,O
pain,O
or,O
weakness,O
Patients,O
experiencing,O
new,O
or,O
worsening,O
peripheral,O
neuropathy,O
may,O
require,O
a,O
delay,O
change,O
in,O
dose,O
or,O
discontinuation,O
of,O
ADCETRIS,O
see,O
Dosage,O
and,O
Administration,O
2,O
2,O
and,O
Adverse,O
Reactions,O
6,O
1,O
5,O
2,O
Anaphylaxis,O
and,O
Infusion,O
Reactions,O
Infusion related reactions,AdverseReaction
including,O
anaphylaxis,AdverseReaction
have,O
occurred,O
with,O
ADCETRIS,O
Monitor,O
patients,O
during,O
infusion,O
If,O
anaphylaxis,O
occurs,O
immediately,O
and,O
permanently,O
discontinue,O
administration,O
of,O
ADCETRIS,O
and,O
administer,O
appropriate,O
medical,O
therapy,O
If,O
an,O
infusion,O
related,O
reaction,O
occurs,O
the,O
infusion,O
should,O
be,O
interrupted,O
and,O
appropriate,O
medical,O
management,O
instituted,O
Patients,O
who,O
have,O
experienced,O
a,O
prior,O
infusion,O
related,O
reaction,O
should,O
be,O
premedicated,O
for,O
subsequent,O
infusions,O
Premedication,O
may,O
include,O
acetaminophen,O
an,O
antihistamine,O
and,O
a,O
corticosteroid,O
5,O
3,O
Hematologic,O
Toxicities,O
Prolonged,O
1,O
week,O
severe,Severity
neutropenia,AdverseReaction
and,O
Grade 3,Severity
or,O
Grade 4,Severity
thrombocytopenia,AdverseReaction
or,O
anemia,AdverseReaction
can,Factor
occur,O
with,O
ADCETRIS,O
Febrile neutropenia,AdverseReaction
has,O
been,O
reported,O
with,O
treatment,O
with,O
ADCETRIS,O
Complete,O
blood,O
counts,O
should,O
be,O
monitored,O
prior,O
to,O
each,O
dose,O
of,O
ADCETRIS,O
and,O
more,O
frequent,O
monitoring,O
should,O
be,O
considered,O
for,O
patients,O
with,O
Grade,O
3,O
or,O
4,O
neutropenia,O
Monitor,O
patients,O
for,O
fever,O
If,O
Grade,O
3,O
or,O
4,O
neutropenia,O
develops,O
consider,O
dose,O
delays,O
reductions,O
discontinuation,O
or,O
G,O
CSF,O
prophylaxis,O
with,O
subsequent,O
ADCETRIS,O
doses,O
see,O
Dosage,O
and,O
Administration,O
2,O
2,O
5,O
4,O
Serious,O
Infections,O
and,O
Opportunistic,O
Infections,O
Serious,Severity
infections,AdverseReaction
and,O
opportunistic infections,AdverseReaction
such,O
as,O
pneumonia,AdverseReaction
